num_vertices,edge_ratio,elapsed_time,weight,n_sol,n_oper,n_iter
2,0.125,0.0006680999940726906,0,3,3,3
2,0.25,0.0004212999774608761,0,3,3,3
2,0.5,0.0003819000266958028,0,3,3,3
2,0.75,0.0007766000053379685,79,3,3,3
3,0.125,0.00046239999937824905,0,7,7,7
3,0.25,0.00038219999987632036,0,7,7,7
3,0.5,0.0005505000008270144,86,7,7,7
3,0.75,0.0011147999903187156,175,7,7,7
4,0.125,0.0005013000045437366,0,15,15,15
4,0.25,0.0007810000097379088,0,15,15,15
4,0.5,0.0007306000043172389,138,15,15,15
4,0.75,0.0005345999961718917,251,15,15,15
5,0.125,0.0012371999910101295,0,31,31,31
5,0.25,0.0006004000024404377,0,31,31,31
5,0.5,0.0007037999748717993,235,31,31,31
5,0.75,0.001049399987095967,327,31,31,31
6,0.125,0.0008708999957889318,0,63,63,63
6,0.25,0.0020877000060863793,0,63,63,63
6,0.5,0.001070699974661693,258,63,63,63
6,0.75,0.0013065999955870211,468,63,63,63
7,0.125,0.001928800018504262,69,127,127,127
7,0.25,0.003333800006657839,73,127,127,127
7,0.5,0.004466000013053417,299,127,127,127
7,0.75,0.00408179999794811,529,127,127,127
8,0.125,0.004097500001080334,53,255,255,255
8,0.25,0.007355600013397634,100,255,255,255
8,0.5,0.00554270000429824,409,255,255,255
8,0.75,0.006595500017283484,611,255,255,255
9,0.125,0.008786199992755428,95,511,511,511
9,0.25,0.007316499977605417,193,511,511,511
9,0.5,0.009997299988754094,836,511,511,511
9,0.75,0.010789499996462837,866,511,511,511
10,0.125,0.018872100015869364,176,1023,1023,1023
10,0.25,0.018418900028336793,290,1023,1023,1023
10,0.5,0.05768779999925755,763,1023,1023,1023
10,0.75,0.06600239998078905,1177,1023,1023,1023
11,0.125,0.03950099999201484,229,2047,2047,2047
11,0.25,0.03786640000180341,522,2047,2047,2047
11,0.5,0.06898050001473166,1406,2047,2047,2047
11,0.75,0.07320290000643581,1606,2047,2047,2047
12,0.125,0.0817121000145562,378,4095,4095,4095
12,0.25,0.08868980000261217,812,4095,4095,4095
12,0.5,0.10547019998193718,1365,4095,4095,4095
12,0.75,0.1485083999868948,1777,4095,4095,4095
13,0.125,0.25940219999756664,516,8191,8191,8191
13,0.25,0.23788930001319386,586,8191,8191,8191
13,0.5,0.26537269999971613,1580,8191,8191,8191
13,0.75,0.3547050000051968,1776,8191,8191,8191
14,0.125,0.3757583999831695,562,16383,16383,16383
14,0.25,0.4063033999991603,777,16383,16383,16383
14,0.5,0.622502699989127,1802,16383,16383,16383
14,0.75,0.7334182999911718,2066,16383,16383,16383
15,0.125,0.6818764999916311,558,32767,32767,32767
15,0.25,0.9400905999937095,1043,32767,32767,32767
15,0.5,1.2739656000048853,2248,32767,32767,32767
15,0.75,1.5656431000097655,2916,32767,32767,32767
16,0.125,1.3986537999880966,643,65535,65535,65535
16,0.25,1.854051400005119,1263,65535,65535,65535
16,0.5,2.2701330999843776,2265,65535,65535,65535
16,0.75,2.741145999985747,3142,65535,65535,65535
17,0.125,2.667709500005003,722,131071,131071,131071
17,0.25,3.366444399987813,1318,131071,131071,131071
17,0.5,5.0088431000185665,2688,131071,131071,131071
17,0.75,6.178123000019696,3574,131071,131071,131071
18,0.125,5.210967399994843,803,262143,262143,262143
18,0.25,6.775180800003,1621,262143,262143,262143
18,0.5,14.84951140001067,2827,262143,262143,262143
18,0.75,14.518890200008173,3649,262143,262143,262143
